"Computer","OS","Remedied","Before(GB)","After(GB)","Required(GB)"
"P20VMESUPSVC01","W2K16","NO","14.52","14.52","1"
"AUSPWEUDMSVC02","W2K16","NO","14.25","14.25","1"
"AUSPWSPLAUDDB02","W2K16","NO","14.3","14.3","1"
"RPAPWS3NRDSH133","W2K16","NO","14.27","14.27","1"
"AUSPWGRCTOLAP03","W2K16","NO","14.52","14.52","1"
"P61VMESUPUI14","W2K16","NO","14.32","14.32","1"
"AUSPWBMSWEB02","W2K16","NO","14.89","14.89","1"
"P61VMESUPUI18","W2K16","NO","14.5","14.5","1"
"P21VMESUPSVC01","W2K16","NO","14.52","14.52","1"
"RPAPWS3PRDSH108","W2K16","NO","14.3","14.3","1"
"P21VMESUPUI17","W2K16","NO","14.59","14.59","1"
"RPAPWS3PRDSH200","W2K16","NO","13.4","13.4","2"
"SCOPWSRBSAPP05","W2K16","NO","14.36","14.36","1"
"AUSPWTFSAPP07","W2K16","NO","14.8","14.8","1"
"AUSPWCOMSVC11","W2K16","NO","14.36","14.36","1"
"AUSPWCDASDR01","W2K16","NO","14.51","14.51","1"
"AUSPWPMTCCMS19","W2K16","NO","14.55","14.55","1"
"P21VMESUPUI10","W2K16","NO","14.65","14.65","1"
"AUSPWSPSVC03","W2K16","NO","14.7","14.7","1"
"AUSPWDMASVCP201","W2K16","NO","14.37","14.37","1"
"AUSPWCATWEB04","W2K16","NO","14.42","14.42","1"
"AUSPWEXECAPP01","W2K16","NO","14.36","14.36","1"
"AUSPWEMDMAP211","W2K16","NO","14.45","14.45","1"
"P20VMESUPSVC03","W2K16","NO","14.5","14.5","1"
"P61VMESUPUI13","W2K16","NO","14.9","14.9","1"
"P80VMDBSNPSG01","W2K16","NO","14.7","14.7","1"
"P21VMESUPUI16","W2K16","NO","14.51","14.51","1"
"RPAPWS3PRDSH104","W2K16","NO","14.84","14.84","1"
"RPAPWP1PRDSH235","W2K16","NR","15.84","15.84",""
"AUSPWARBWEB02","W2K16","NO","14.7","14.7","1"
"RPAPWP1PRDSH172","W2K16","NO","14.88","14.88","1"
"AUSPWRACKNET","W2K16","NO","14.4","14.4","1"
"AUSPWSVCGLPCS04","W2K16","NO","14.67","14.67","1"
"RPAPWS3PRDSH170","W2K16","NO","14.95","14.95","1"
"P80VMDBSNPAOE02","W2K16","NO","14.43","14.43","1"
"RPAPWS3NRDSH139","W2K16","NR","15.97","15.97",""
"RPAPWS3NRDSH186","W2K16","NO","14.52","14.52","1"
"AUSPWSVCGLPCS03","W2K16","NO","14.55","14.54","1"
"RPAPWP1NRDSH169","W2K16","NO","14.21","14.21","1"
"P20VMESUPUI08","W2K16","NO","14.5","14.5","1"
"EARPWSQPPRD13","W2K16","NO","14.65","14.65","1"
"AUSPWGPTDB01","W2K16","NR","18.56","18.56",""
"AUSPWPFCCLN02","W2K16","NO","13.03","13.03","2"
"RPAPWS3NRDSH175","W2K16","NO","14.53","14.53","1"
"RPAPWP1PRDSH223","W2K16","NO","14.27","14.27","1"
"RPAPWP1PRDSH190","W2K16","NO","13.94","13.94","2"
"AUSPWDPSQL01","W2K16","NR","15.7","15.7",""
"AUSPWCATWEB01","W2K16","NO","14.54","14.54","1"
"AUSPWINGAPP10","W2K16","NO","14.8","14.8","1"
"P21VMESUPUI09","W2K16","NO","14.57","14.57","1"
"P61VMESUPUI12","W2K16","NR","15.34","15.34",""
"AUSPWAMDMAP211","W2K16","NO","14.59","14.59","1"
"P20VMESUPUI10","W2K16","NO","14.78","14.78","1"
"DCQPWS1AQESVC01","W2K16","NO","14.84","14.84","1"
"RPAPWS3NRDSH181","W2K16","NO","14.59","14.59","1"
"RPAPWS3NRDSH114","W2K16","NO","12.9","12.9","3"
"RPAPWP1PRDSH115","W2K16","NO","13.24","13.24","2"
"PAGPWDGADB02","W2K16","NR","15.45","15.45",""
"RPAPWP1NRDSH107","W2K16","NR","15.83","15.83",""
"AUSPWARBWEB04","W2K16","NO","14.87","14.87","1"
"RPAPWS3NRDSH109","W2K16","NO","14.6","14.6","1"
"P60VMESUPUI11","W2K16","NO","14.58","14.58","1"
"AUSPWRBTXSTN06","W2K16","NR","15.14","15.14",""
"RPAPWP1NRDSH206","W2K16","NO","13.74","13.74","2"
"P21VMESUPUI13","W2K16","NO","14.83","14.83","1"
"AUSPWRBTXDB02","W2K16","NO","14.61","14.61","1"
"RPAPWS3PRDSH258","W2K16","NR","15.16","15.16",""
"RPAPWS3PRDSH188","W2K16","NR","15.32","15.32",""
"RPAPWP1NRDSH130","W2K16","NO","13.97","13.97","2"
"P70VMDBSNPSD01","W2K16","NO","14.65","14.65","1"
"RPAPWP1NRDSH162","W2K16","NO","13.56","13.56","2"
"P61VMESUPUI16","W2K16","NO","14.9","14.9","1"
"RPAPWP1NRDSH209","W2K16","NO","14.07","14.07","1"
"P70VMDBPCI01","W2K16","NR","15.15","15.15",""
"SCOPWSRBSAPP04","W2K16","NR","15.01","15.01",""
"P60VMESUPUI16","W2K16","NO","14.96","14.96","1"
"P70VMDBASY01","W2K16","NO","14.75","14.75","1"
"AUSPWNIITBW01","W2K16","NR","17.85","17.85",""
"MOMPWMS111","W2K16","NR","15.45","15.45",""
"AUSPWAMCFG02","W2K16","NO","14.7","14.7","1"
"SCOPWPRBSAPP05","W2K16","NO","14.98","14.98","1"
"AUSPWEUDMSVC05","W2K16","NO","14.94","14.94","1"
"AUSPWARBSDWEB1","W2K16","NO","14.93","14.93","1"
"RPAPWS3PRDSH125","W2K16","NO","12.88","12.88","3"
"AUSPWM1PMTDB1","W2K16","NO","14.96","14.96","1"
"AUSPWCDASDR02","W2K16","NO","14.65","14.65","1"
"RPAPWP1NRDSH15","W2K16","NR","16.02","16.02",""
"AUSPWCMIPR01","W2K16","NR","16.21","16.21",""
"MOMPWNPMS01","W2K16","NO","14.76","14.76","1"
"RPAPWP1PRDSH164","W2K16","NR","15.7","15.7",""
"P20VMESUPUI09","W2K16","NO","14.69","14.69","1"
"AUSPWSTESCNDB01","W2K16","NR","15.13","15.13",""
"RPAPWS3PRDSH249","W2K16","NR","15.57","15.57",""
"AUSPWOLARBWEB01","W2K16","NO","14.75","14.75","1"
"P21VMSTPLAUXL1","W2K16","NO","14.68","14.68","1"
"AUSFWATSWS04","W2K16","NR","16.57","16.57",""
"SDBSQLPRD003","W2K16","NR","16.2","16.2",""
"AUSPWAMDMAP201","W2K16","NO","14.81","14.81","1"
"AUSFWARBUSSVC01","W2K16","NO","14.78","14.78","1"
"P60VMESUPUI14","W2K16","NO","14.86","14.86","1"
"P20VMESUPUI18","W2K16","NR","15.05","15.05",""
"AUSPWAIMSVC05","W2K16","NO","14.79","14.79","1"
"AUSPWRBTXSTN13","W2K16","NO","14.81","14.81","1"
"AUSPWPCICDAS02","UTC","UTC","UTC","UTC",""
"P21VMESUPSVC02","W2K16","NO","14.8","14.8","1"
"AUSPWCOMSVC13","W2K16","NR","15.06","15.06",""
"RPAPWS3NRDSH208","W2K16","NO","14.78","14.78","1"
"AUSPESTLS03","W2K16","NR","15.09","15.09",""
"AUSPWEUDMUX03","W2K16","NO","14.74","14.74","1"
"RPAPWS3NRDSH201","W2K16","NR","15.69","15.69",""
"AUSPWS3BAMCFG02","W2K16","NO","14.84","14.84","1"
"AUSPWOLPLACFB02","W2K16","NO","14.83","14.83","1"
"P21VMESUPUI11","W2K16","NO","14.92","14.92","1"
"AUSPWRBTXSTN14","W2K16","NO","14.95","14.95","1"
"P61VMESUPSVC02","W2K16","NR","15.22","15.22",""
"RPAPWS3PRDSH165","W2K16","NO","13.33","13.33","2"
"RPAPWS3PRDSH212","W2K16","NR","15.76","15.76",""
"AUSPWRPTCSRRS1","W2K16","NR","20.13","20.13",""
"P20VMESUPUI13","W2K16","NO","14.86","14.86","1"
"RPAPWS3PRDSH155","W2K16","NR","15.33","15.33",""
"AUSPWTFS2PRXY04","W2K16","NO","14.99","14.99","1"
"AUSPWSTPAPSCDB3","W2K16","NR","15.17","15.17",""
"RPAPWP1PRDSH162","W2K16","NO","14.21","14.21","1"
"LIMPWSANHQ01","W2K16","NR","15.95","15.95",""
